relation_raw,category_50,category_simple
is an underlying factor for,Taxonomy_IsA,Là loại
is antagonized by,DrugInteraction,Tương tác thuốc
is anterior to,Anatomy_SpatialRelation,Vị trí tương đối
is applied in,Etiology_AssociatedWith,Liên quan
is approved,Regulatory_Status,Trạng thái phê duyệt
is approved and,Regulatory_Status,Trạng thái phê duyệt
is approved and investigational,Regulatory_Status,Trạng thái phê duyệt
is approved and investigational and withdrawn,Regulatory_Status,Trạng thái phê duyệt
is approved by,Regulatory_Status,Trạng thái phê duyệt
is approved for,Regulatory_Status,Trạng thái phê duyệt
is approved for managing,Regulatory_Status,Trạng thái phê duyệt
is approved for the treatment of,Regulatory_Status,Trạng thái phê duyệt
is approved for use,Regulatory_Status,Trạng thái phê duyệt
is approved for use alone or in combination with,Regulatory_Status,Trạng thái phê duyệt
is approved for use as,Regulatory_Status,Trạng thái phê duyệt
is approved for use as an alternative to,Regulatory_Status,Trạng thái phê duyệt
is approved for use as an index of,Regulatory_Status,Trạng thái phê duyệt
is approved for use in,Regulatory_Status,Trạng thái phê duyệt
is approved for use in combination with,Regulatory_Status,Trạng thái phê duyệt
is approved for use in the treatment of,Regulatory_Status,Trạng thái phê duyệt
is approved for use in treating,Regulatory_Status,Trạng thái phê duyệt
is approved in,Regulatory_Status,Trạng thái phê duyệt
is approximately,Etiology_AssociatedWith,Liên quan
is as effective as,Etiology_AssociatedWith,Liên quan
is associated with,Etiology_AssociatedWith,Liên quan
is associated with deficiencies of,Diagnosis_LabFinding,Xét nghiệm
is associated with risks in,Etiology_AssociatedWith,Liên quan
is at risk for,Etiology_AssociatedWith,Liên quan
is at risk of,Etiology_AssociatedWith,Liên quan
is attributed to,Etiology_CausedBy,Do nguyên nhân
is attributed to mutations in,Genetics_Mutation,Đột biến
is available,Etiology_AssociatedWith,Liên quan
is available as,Etiology_AssociatedWith,Liên quan
is available in,Etiology_AssociatedWith,Liên quan
is available in combination with,Etiology_AssociatedWith,Liên quan
is available in formulations for,Etiology_AssociatedWith,Liên quan
is available under,Etiology_AssociatedWith,Liên quan
is available under the product name,Etiology_AssociatedWith,Liên quan
is available with,Etiology_AssociatedWith,Liên quan
is avoided to prevent,Safety_ContraindicationAvoid,Chống chỉ định
is bactericidal,Etiology_AssociatedWith,Liên quan
is based on,Etiology_AssociatedWith,Liên quan
is based on trials,Etiology_AssociatedWith,Liên quan
is being explored as,Regulatory_Status,Trạng thái phê duyệt
is being investigated by,Etiology_AssociatedWith,Liên quan
is being investigated for,Etiology_AssociatedWith,Liên quan
is being investigated in,Etiology_AssociatedWith,Liên quan
is being researched for,Regulatory_Status,Trạng thái phê duyệt
is being studied for,Regulatory_Status,Trạng thái phê duyệt
is being studied for potential use in,Regulatory_Status,Trạng thái phê duyệt
is being studied in,Regulatory_Status,Trạng thái phê duyệt
is believed to act as,Etiology_AssociatedWith,Liên quan
is believed to be,Etiology_AssociatedWith,Liên quan
is believed to be caused by,Etiology_CausedBy,Do nguyên nhân
is believed to be due to,Etiology_CausedBy,Do nguyên nhân
is believed to be related to,Etiology_AssociatedWith,Liên quan
is believed to bind to,MoA_BindingAffinity,Gắn kết
is believed to block,MoA_InhibitionBlockade,Ức chế
is believed to follow,Etiology_AssociatedWith,Liên quan
is believed to involve,Etiology_AssociatedWith,Liên quan
is believed to protect cells against,Etiology_AssociatedWith,Liên quan
is believed to result from,Etiology_CausedBy,Do nguyên nhân
is beneficial during,Etiology_AssociatedWith,Liên quan
is beneficial for treating,Etiology_AssociatedWith,Liên quan
is both,Etiology_AssociatedWith,Liên quan
is bound by,Etiology_AssociatedWith,Liên quan
is bound in plasma by,PK_DistributionProteinBinding,Phân bố & gắn
is bound primarily to,Etiology_AssociatedWith,Liên quan
is bound to,Etiology_AssociatedWith,Liên quan
is bound to a lesser extent to,Etiology_AssociatedWith,Liên quan
is bound to plasma proteins by,Etiology_AssociatedWith,Liên quan
is bound to protein with,Etiology_AssociatedWith,Liên quan
is calculated by,Etiology_AssociatedWith,Liên quan
is candidate for,Etiology_AssociatedWith,Liên quan
is capable of,Etiology_AssociatedWith,Liên quan
is catalyzed by,Etiology_AssociatedWith,Liên quan
is categorized as,Etiology_AssociatedWith,Liên quan
is categorized under,Etiology_AssociatedWith,Liên quan
is category b during,Etiology_AssociatedWith,Liên quan
is caused by,Etiology_CausedBy,Do nguyên nhân
is caused by a mutation in,Genetics_Mutation,Đột biến
is caused by lack of,Etiology_CausedBy,Do nguyên nhân
is caused by mutation in,Genetics_Mutation,Đột biến
is caused by mutations in,Genetics_Mutation,Đột biến
is cautioned for,Etiology_AssociatedWith,Liên quan
is cell cycle phase specific,Etiology_AssociatedWith,Liên quan
is centered around,Etiology_AssociatedWith,Liên quan
is centered on,Etiology_AssociatedWith,Liên quan
is challenging to distinguish from,Diagnosis_DiagnosticMethod,Cách chẩn đoán
is characterized as,Etiology_AssociatedWith,Liên quan
is characterized by,Clinical_SymptomSign,Triệu chứng
is chemically related to,Etiology_AssociatedWith,Liên quan
is classified as,Taxonomy_IsA,Là loại
is classified as a,Taxonomy_IsA,Là loại
is classified as part of,Taxonomy_IsA,Là loại
is classified into,Taxonomy_MemberOf,Thuộc nhóm
is classified under,Etiology_AssociatedWith,Liên quan
is classified under the drug category of,DrugClass_Category,Nhóm thuốc
is cleared by,PK_ExcretionClearance,Thải trừ
is cleaved in the presence of,Etiology_AssociatedWith,Liên quan
is closely related to,Etiology_AssociatedWith,Liên quan
is combined with,DrugInteraction,Tương tác thuốc
is commercially available as,Etiology_AssociatedWith,Liên quan
is common in,Etiology_AssociatedWith,Liên quan
is commonly formulated with,Etiology_AssociatedWith,Liên quan
is commonly found in,Anatomy_LocatedIn,Nằm ở
is commonly known as,Alias_Name,Tên khác
is commonly referred to as,Alias_Name,Tên khác
is commonly used for,Treatment_IndicationUse,Điều trị / chỉ định
is commonly used in combination with,DrugInteraction,Tương tác thuốc
is commonly used to treat,Treatment_IndicationUse,Điều trị / chỉ định
is comparable to,Etiology_AssociatedWith,Liên quan
is compared to,Etiology_AssociatedWith,Liên quan
is complex and rare,Epidemiology_PrevalenceIncidence,Tần suất mắc
is composed of,Taxonomy_PartOf,Thành phần của
is comprised of,Taxonomy_PartOf,Thành phần của
is confirmed through,Diagnosis_DiagnosticMethod,Cách chẩn đoán
is confused with,Etiology_AssociatedWith,Liên quan
is conjugated with,Etiology_AssociatedWith,Liên quan
is connected to,Etiology_AssociatedWith,Liên quan
is considered,Etiology_AssociatedWith,Liên quan
is considered a,Etiology_AssociatedWith,Liên quan
is considered a significant cause of,Etiology_AssociatedWith,Liên quan
is considered an,Etiology_AssociatedWith,Liên quan
is considered by,Etiology_AssociatedWith,Liên quan
is considered for,Etiology_AssociatedWith,Liên quan
is considered in,Etiology_AssociatedWith,Liên quan
is considered to be,Etiology_AssociatedWith,Liên quan
is considered when,Etiology_AssociatedWith,Liên quan
is contraindicated in,Safety_ContraindicationAvoid,Chống chỉ định
is contraindicated in patients with,Safety_ContraindicationAvoid,Chống chỉ định
is contraindicated in patients with a history of,Safety_ContraindicationAvoid,Chống chỉ định
is contraindicated with,Safety_ContraindicationAvoid,Chống chỉ định
is controlled by,Etiology_AssociatedWith,Liên quan
is controversial due to concerns over,Safety_WarningCaution,Cảnh báo
is converted into,PK_Metabolism,Chuyển hóa
is converted to,PK_Metabolism,Chuyển hóa
is correlated with,Etiology_AssociatedWith,Liên quan
is coupled to,Etiology_AssociatedWith,Liên quan
is created by,Taxonomy_ProductOf,Tạo ra bởi
is critical for,Etiology_AssociatedWith,Liên quan
is cross resistant with,Etiology_AssociatedWith,Liên quan
is crucial as,Etiology_AssociatedWith,Liên quan
is crucial for,Etiology_AssociatedWith,Liên quan
is crucial in cases of,Epidemiology_PrevalenceIncidence,Tần suất mắc
is crucial in preventing,Etiology_AssociatedWith,Liên quan
is crucial to,Etiology_AssociatedWith,Liên quan
is crucial to prevent,Prevention_Prophylaxis,Phòng ngừa
is cultured from,Etiology_AssociatedWith,Liên quan
is currently,Etiology_AssociatedWith,Liên quan
is currently being,Etiology_AssociatedWith,Liên quan
is currently in development for,Etiology_AssociatedWith,Liên quan
is currently in trials in,Regulatory_Status,Trạng thái phê duyệt
is decreased by,Etiology_AssociatedWith,Liên quan
is decreased in,Etiology_AssociatedWith,Liên quan
is deficient in,Etiology_AssociatedWith,Liên quan
is defined by,Etiology_AssociatedWith,Liên quan
is densely distributed within,Anatomy_SpatialRelation,Vị trí tương đối
is dependent upon,Etiology_AssociatedWith,Liên quan
is derived from,Taxonomy_DerivedFrom,Nguồn gốc từ
is described as,Etiology_AssociatedWith,Liên quan
is described by,Etiology_AssociatedWith,Liên quan
is described in,Etiology_AssociatedWith,Liên quan
is described in families from,Etiology_AssociatedWith,Liên quan
is designed to mimic the structure and function of,MoA_ModulationOther,Điều hòa khác
is developed by,Etiology_AssociatedWith,Liên quan
is developed for,Etiology_AssociatedWith,Liên quan
is developed for the treatment of,Treatment_IndicationUse,Điều trị / chỉ định
is developed in,Etiology_AssociatedWith,Liên quan
is diagnosed,Diagnosis_DiagnosticMethod,Cách chẩn đoán
is diagnosed at age,Diagnosis_DiagnosticMethod,Cách chẩn đoán
is diagnosed based on,Diagnosis_DiagnosticMethod,Cách chẩn đoán
is diagnosed before,Diagnosis_DiagnosticMethod,Cách chẩn đoán
is diagnosed by,Diagnosis_DiagnosticMethod,Cách chẩn đoán
is diagnosed during,Diagnosis_DiagnosticMethod,Cách chẩn đoán
is diagnosed for,Diagnosis_DiagnosticMethod,Cách chẩn đoán
is diagnosed in,Diagnosis_DiagnosticMethod,Cách chẩn đoán
is diagnosed through,Diagnosis_DiagnosticMethod,Cách chẩn đoán
is diagnosed when,Diagnosis_DiagnosticMethod,Cách chẩn đoán
is diagnosed with,Diagnosis_DiagnosticMethod,Cách chẩn đoán
is different from,Etiology_AssociatedWith,Liên quan
is differentiated by,Etiology_AssociatedWith,Liên quan
is differentiated from,Diagnosis_DiagnosticMethod,Cách chẩn đoán
is discontinued in,Etiology_AssociatedWith,Liên quan
is disrupted by,Etiology_AssociatedWith,Liên quan
is distinct from,Etiology_AssociatedWith,Liên quan
is distinguished by,Etiology_AssociatedWith,Liên quan
is distinguished by the absence of,Etiology_AssociatedWith,Liên quan
is distinguished by weak expression of,Etiology_AssociatedWith,Liên quan
is distinguished from,Diagnosis_DiagnosticMethod,Cách chẩn đoán
is distributed in,Etiology_AssociatedWith,Liên quan
is distributed throughout,Anatomy_LocatedIn,Nằm ở
is done through,Etiology_AssociatedWith,Liên quan
is done with,Etiology_AssociatedWith,Liên quan
is downregulated by,Anatomy_ExpressedIn,Biểu hiện ở
is due to,Etiology_CausedBy,Do nguyên nhân
is easier to use in,Etiology_AssociatedWith,Liên quan
is effective against,Etiology_AssociatedWith,Liên quan
is effective as,Etiology_AssociatedWith,Liên quan
is effective as an,Etiology_AssociatedWith,Liên quan
is effective at eradicating,Etiology_AssociatedWith,Liên quan
is effective at reducing,Etiology_AssociatedWith,Liên quan
is effective due to its,Etiology_CausedBy,Do nguyên nhân
is effective for,Etiology_AssociatedWith,Liên quan
is effective for treating,Etiology_AssociatedWith,Liên quan
is effective if administered before,Etiology_AssociatedWith,Liên quan
is effective in,Treatment_IndicationUse,Điều trị / chỉ định
is effective in improving,Treatment_IndicationUse,Điều trị / chỉ định
is effective in inhibiting,Treatment_IndicationUse,Điều trị / chỉ định
is effective in lowering,Treatment_IndicationUse,Điều trị / chỉ định
is effective in managing,Treatment_IndicationUse,Điều trị / chỉ định
is effective in reducing,Treatment_IndicationUse,Điều trị / chỉ định
is effective in the treatment of,Treatment_IndicationUse,Điều trị / chỉ định
is effective in treating,Treatment_IndicationUse,Điều trị / chỉ định
is effective in treatment of,Treatment_IndicationUse,Điều trị / chỉ định
is effective treatment for,Treatment_IndicationUse,Điều trị / chỉ định
is either,Etiology_AssociatedWith,Liên quan
is elevated in,Diagnosis_LabFinding,Xét nghiệm
is eliminated,PK_ExcretionClearance,Thải trừ
is eliminated in,PK_ExcretionClearance,Thải trừ
is eliminated primarily in,PK_ExcretionClearance,Thải trừ
is eliminated primarily through,PK_ExcretionClearance,Thải trừ
is eliminated through,PK_ExcretionClearance,Thải trừ
is eliminated with a minimum half life of,PK_ExcretionClearance,Thải trừ
is emphasized by,Etiology_AssociatedWith,Liên quan
is employed as,Etiology_AssociatedWith,Liên quan
is employed in the management of,Treatment_ManagementCare,Theo dõi / chăm sóc
is employed to address,Etiology_AssociatedWith,Liên quan
is encoded by,Etiology_AssociatedWith,Liên quan
is enriched in,Etiology_AssociatedWith,Liên quan
is equivalent to,Etiology_AssociatedWith,Liên quan
is essential co drug with,Etiology_AssociatedWith,Liên quan
is essential due to,Etiology_CausedBy,Do nguyên nhân
is essential for,Etiology_AssociatedWith,Liên quan
is essential for excluding,Etiology_AssociatedWith,Liên quan
is essential for maintaining,Etiology_AssociatedWith,Liên quan
is essential to,Etiology_AssociatedWith,Liên quan
is essential to determine,Etiology_AssociatedWith,Liên quan
is essential to exclude,Etiology_AssociatedWith,Liên quan
is essential to prevent,Prevention_Prophylaxis,Phòng ngừa
is essential to recognize for,Etiology_AssociatedWith,Liên quan
is estimated at,Etiology_AssociatedWith,Liên quan
is estimated to affect,Epidemiology_PrevalenceIncidence,Tần suất mắc
is estimated to be,Etiology_AssociatedWith,Liên quan
is estimated to be prevalent in,Etiology_AssociatedWith,Liên quan
is evaluated for,Etiology_AssociatedWith,Liên quan
is evaluated for treatment of,Treatment_IndicationUse,Điều trị / chỉ định
is evaluated in,Etiology_AssociatedWith,Liên quan
is evidenced by,Etiology_AssociatedWith,Liên quan
is evident at,Etiology_AssociatedWith,Liên quan
is exacerbated by,Etiology_AssociatedWith,Liên quan
is excreted by,PK_ExcretionClearance,Thải trừ
is excreted in,PK_ExcretionClearance,Thải trừ
is excreted through,PK_ExcretionClearance,Thải trừ
is excreted via,PK_ExcretionClearance,Thải trừ
is exhibited by,Etiology_AssociatedWith,Liên quan
is experimental and has not received,Etiology_AssociatedWith,Liên quan
is experimental for,Etiology_AssociatedWith,Liên quan
is experimental in,Etiology_AssociatedWith,Liên quan
is exploring,Etiology_AssociatedWith,Liên quan
is expressed along,Etiology_AssociatedWith,Liên quan
is expressed at,Etiology_AssociatedWith,Liên quan
is expressed in,Anatomy_ExpressedIn,Biểu hiện ở
is expressed in terms of,Anatomy_ExpressedIn,Biểu hiện ở
is expressed on,Anatomy_ExpressedIn,Biểu hiện ở
is extensively bound to,Etiology_AssociatedWith,Liên quan
is extensively used for,Treatment_IndicationUse,Điều trị / chỉ định
is extracted by,Etiology_AssociatedWith,Liên quan
is extracted from,Taxonomy_DerivedFrom,Nguồn gốc từ
is fda approved for,Regulatory_Status,Trạng thái phê duyệt
is filled with,Etiology_AssociatedWith,Liên quan
is first line therapy for,Treatment_IndicationUse,Điều trị / chỉ định
is first metabolized by,PK_Metabolism,Chuyển hóa
is focused on,Etiology_AssociatedWith,Liên quan
is for,Etiology_AssociatedWith,Liên quan
is formed by,Taxonomy_ProductOf,Tạo ra bởi
is formed from,Taxonomy_ProductOf,Tạo ra bởi
is formed of,Etiology_AssociatedWith,Liên quan
is formulated as,Etiology_AssociatedWith,Liên quan
is found,Etiology_AssociatedWith,Liên quan
is found at,Etiology_AssociatedWith,Liên quan
is found in,Anatomy_LocatedIn,Nằm ở
is found in higher concentrations in,Anatomy_LocatedIn,Nằm ở
is found in patients with,Anatomy_LocatedIn,Nằm ở
is found on,Etiology_AssociatedWith,Liên quan
is frequently,Etiology_AssociatedWith,Liên quan
is frequently accompanied by,Etiology_AssociatedWith,Liên quan
is frequently observed in,Etiology_AssociatedWith,Liên quan
is from,Etiology_AssociatedWith,Liên quan
is functionally similar to,Etiology_AssociatedWith,Liên quan
is generally,Etiology_AssociatedWith,Liên quan
is generally best avoided as it may,Safety_ContraindicationAvoid,Chống chỉ định
is generally best avoided due to,Safety_ContraindicationAvoid,Chống chỉ định
is generally bound to,Etiology_AssociatedWith,Liên quan
is generally considered,Etiology_AssociatedWith,Liên quan
is generally considered to be,Etiology_AssociatedWith,Liên quan
is generated by,Taxonomy_ProductOf,Tạo ra bởi
is generated in,Etiology_AssociatedWith,Liên quan
is genetically,Etiology_AssociatedWith,Liên quan
is given,Etiology_AssociatedWith,Liên quan
is given alone or in combination with,Etiology_AssociatedWith,Liên quan
is given in a dose of,Treatment_DoseRegimen,Liều dùng
is given in combination with,Etiology_AssociatedWith,Liên quan
is given to,Etiology_AssociatedWith,Liên quan
is given to patients,Etiology_AssociatedWith,Liên quan
is given with,Etiology_AssociatedWith,Liên quan
is good for,Etiology_AssociatedWith,Liên quan
is higher in areas with,Epidemiology_Geography,Theo khu vực
is highlighted by,Etiology_AssociatedWith,Liên quan
is highly,Etiology_AssociatedWith,Liên quan
is highly bound to,Etiology_AssociatedWith,Liên quan
is highly lipid soluble causing,Etiology_AssociatedWith,Liên quan
is highly penetrable into,Etiology_AssociatedWith,Liên quan
is highly protein bound,PK_DistributionProteinBinding,Phân bố & gắn
is highly protein bound to,PK_DistributionProteinBinding,Phân bố & gắn
is identified as,Etiology_AssociatedWith,Liên quan
is illegal in,Etiology_AssociatedWith,Liên quan
is illegal to possess or distribute without,Etiology_AssociatedWith,Liên quan
is illicit in some countries due to concerns about,Safety_WarningCaution,Cảnh báo
is illicitly used and has potential for,Etiology_AssociatedWith,Liên quan
is imperative to prevent,Prevention_Prophylaxis,Phòng ngừa
is implicated in,Etiology_AssociatedWith,Liên quan
is important during,Etiology_AssociatedWith,Liên quan
is important for,Etiology_AssociatedWith,Liên quan
is important for managing,Etiology_AssociatedWith,Liên quan
is important if,Etiology_AssociatedWith,Liên quan
is important in,Etiology_AssociatedWith,Liên quan
is important to avoid,Etiology_AssociatedWith,Liên quan
is in,Etiology_AssociatedWith,Liên quan
is in a physical state of,Etiology_AssociatedWith,Liên quan
is in contrast to,Etiology_AssociatedWith,Liên quan
is in relation to,Etiology_AssociatedWith,Liên quan
is in the physical state of,Etiology_AssociatedWith,Liên quan
is incompatible with,Etiology_AssociatedWith,Liên quan
is incorporated into,Etiology_AssociatedWith,Liên quan
is increased due to,Etiology_CausedBy,Do nguyên nhân
is increased in,Etiology_AssociatedWith,Liên quan
is increased to,Etiology_AssociatedWith,Liên quan
is increasing due to,Etiology_CausedBy,Do nguyên nhân
is increasing in,Etiology_AssociatedWith,Liên quan
is independent of,Etiology_AssociatedWith,Liên quan
is indicated as,Etiology_AssociatedWith,Liên quan
is indicated as adjunctive therapy in,Treatment_IndicationUse,Điều trị / chỉ định
is indicated as an adjunct to,Etiology_AssociatedWith,Liên quan
is indicated for,Treatment_IndicationUse,Điều trị / chỉ định
is indicated for patients,Treatment_IndicationUse,Điều trị / chỉ định
is indicated for pre exposure prophylaxis in patients weighing,Treatment_IndicationUse,Điều trị / chỉ định
is indicated for relief of,Treatment_IndicationUse,Điều trị / chỉ định
is indicated for the prevention of,Treatment_IndicationUse,Điều trị / chỉ định
is indicated for the treatment of,Treatment_IndicationUse,Điều trị / chỉ định
is indicated for treatment of,Treatment_IndicationUse,Điều trị / chỉ định
is indicated for use as,Treatment_IndicationUse,Điều trị / chỉ định
is indicated for use as monotherapy or adjunctive therapy in,Treatment_IndicationUse,Điều trị / chỉ định
is indicated for use in,Treatment_IndicationUse,Điều trị / chỉ định
is indicated for use with,Treatment_IndicationUse,Điều trị / chỉ định
is indicated if,Etiology_AssociatedWith,Liên quan
is indicated in,Etiology_AssociatedWith,Liên quan
is indicated in the dsm v for,Etiology_AssociatedWith,Liên quan
is indicated in the management of,Treatment_ManagementCare,Theo dõi / chăm sóc
is indicated in the treatment of,Treatment_IndicationUse,Điều trị / chỉ định
is indicated to improve,Etiology_AssociatedWith,Liên quan
is indicated to prevent,Prevention_Prophylaxis,Phòng ngừa
is indicated to provide,Etiology_AssociatedWith,Liên quan
is indicated to reduce,MoA_ModulationOther,Điều hòa khác
is indicated to reduce the risk of,Prevention_Prophylaxis,Phòng ngừa
is indicated to treat,Treatment_IndicationUse,Điều trị / chỉ định
is indicated with,Etiology_AssociatedWith,Liên quan
is indicative of,Etiology_AssociatedWith,Liên quan
is individualized according to,Etiology_AssociatedWith,Liên quan
is induced by,Etiology_AssociatedWith,Liên quan
is ineffective with,Etiology_AssociatedWith,Liên quan
is influenced by,Etiology_AssociatedWith,Liên quan
is inherited as,Genetics_InheritanceCarrier,Di truyền
is inherited from,Genetics_InheritanceCarrier,Di truyền
is inhibited by,MoA_InhibitionBlockade,Ức chế
is innervated by,Anatomy_SpatialRelation,Vị trí tương đối
is insoluble in,Etiology_AssociatedWith,Liên quan
is intolerant to,Etiology_AssociatedWith,Liên quan
is intrinsic to,Etiology_AssociatedWith,Liên quan
is introduced under,Etiology_AssociatedWith,Liên quan
is investigated as,Etiology_AssociatedWith,Liên quan
is investigated as a,Etiology_AssociatedWith,Liên quan
is investigated as a treatment for,Treatment_IndicationUse,Điều trị / chỉ định
is investigated as treatment for,Treatment_IndicationUse,Điều trị / chỉ định
is investigated for,Etiology_AssociatedWith,Liên quan
is investigated for the treatment of,Treatment_IndicationUse,Điều trị / chỉ định
is investigated for treating,Etiology_AssociatedWith,Liên quan
is investigated in the treatment of,Treatment_IndicationUse,Điều trị / chỉ định
is investigated to treat,Treatment_IndicationUse,Điều trị / chỉ định
is investigating,Etiology_AssociatedWith,Liên quan
is investigational,Regulatory_Status,Trạng thái phê duyệt
is investigational for,Regulatory_Status,Trạng thái phê duyệt
is investigational for the treatment of,Regulatory_Status,Trạng thái phê duyệt
is investigational for use in,Regulatory_Status,Trạng thái phê duyệt
is investigational in,Regulatory_Status,Trạng thái phê duyệt
is involved in,Etiology_AssociatedWith,Liên quan
is involved in the biosynthesis of,Etiology_AssociatedWith,Liên quan
is involved in the incorporation into,Etiology_AssociatedWith,Liên quan
is involved in the pathophysiology of,Etiology_AssociatedWith,Liên quan
is involved in the production of,Etiology_AssociatedWith,Liên quan
is involved in the synthesis of,Etiology_AssociatedWith,Liên quan
is involved in the transport of,Etiology_AssociatedWith,Liên quan
is isolated from,Taxonomy_DerivedFrom,Nguồn gốc từ
is known as,Alias_Name,Tên khác
is known for its,Etiology_AssociatedWith,Liên quan
is known for its activity against,Etiology_AssociatedWith,Liên quan
is known to be,Etiology_AssociatedWith,Liên quan
is largely,Etiology_AssociatedWith,Liên quan
is less active than,Etiology_AssociatedWith,Liên quan
is less common in,Epidemiology_Demographics,Hay gặp ở nhóm
is less effective at reducing,Etiology_AssociatedWith,Liên quan
is less effective in,Treatment_IndicationUse,Điều trị / chỉ định
is less frequent in,Etiology_AssociatedWith,Liên quan
is less frequently associated with,Etiology_AssociatedWith,Liên quan
is less potent than,Etiology_AssociatedWith,Liên quan
is less sedating than,Etiology_AssociatedWith,Liên quan
is less suitable than,Etiology_AssociatedWith,Liên quan
is less than,Etiology_AssociatedWith,Liên quan
is less toxic than,Etiology_AssociatedWith,Liên quan
is likely,Etiology_AssociatedWith,Liên quan
is likely related to,Etiology_AssociatedWith,Liên quan
is likely to inhibit,MoA_InhibitionBlockade,Ức chế
is limited by,Etiology_AssociatedWith,Liên quan
is linked to,Etiology_AssociatedWith,Liên quan
is linked to mutations in,Genetics_Mutation,Đột biến
is linked to the activity of,Etiology_AssociatedWith,Liên quan
is listed in,Etiology_AssociatedWith,Liên quan
is localized near,Etiology_AssociatedWith,Liên quan
is localized to,Etiology_AssociatedWith,Liên quan
is located at,Etiology_AssociatedWith,Liên quan
is located at the,Etiology_AssociatedWith,Liên quan
is located between,Anatomy_SpatialRelation,Vị trí tương đối
is located in,Anatomy_LocatedIn,Nằm ở
is located on,Anatomy_LocatedIn,Nằm ở
is macrofilaricidal and partially,Etiology_AssociatedWith,Liên quan
is made through,Etiology_AssociatedWith,Liên quan
is made up of,Etiology_AssociatedWith,Liên quan
is mainly,Etiology_AssociatedWith,Liên quan
is mainly bound to,Etiology_AssociatedWith,Liên quan
is mainly protein bound to,PK_DistributionProteinBinding,Phân bố & gắn
is managed according to,Treatment_ManagementCare,Theo dõi / chăm sóc
is managed based on,Treatment_ManagementCare,Theo dõi / chăm sóc
is managed by,Treatment_ManagementCare,Theo dõi / chăm sóc
is managed through,Treatment_ManagementCare,Theo dõi / chăm sóc
is managed with,Treatment_ManagementCare,Theo dõi / chăm sóc
is manufactured by,Etiology_AssociatedWith,Liên quan
is manufactured by converting,Etiology_AssociatedWith,Liên quan
is mapped to,Genetics_GeneEncodes,Gen mã hóa
is marked by,Clinical_SymptomSign,Triệu chứng
is marked pathologically by,Etiology_AssociatedWith,Liên quan
is marketed as,Etiology_AssociatedWith,Liên quan
is marketed by,Etiology_AssociatedWith,Liên quan
is marketed in,Etiology_AssociatedWith,Liên quan
is marketed in cooperation with,Etiology_AssociatedWith,Liên quan
is marketed under,Etiology_AssociatedWith,Liên quan
is marketed under the brand name,Alias_Name,Tên khác
is marketed under the name,Etiology_AssociatedWith,Liên quan
is marketed under the trade name,Alias_Name,Tên khác
is marketed under the trademark,Etiology_AssociatedWith,Liên quan
is measured in,Etiology_AssociatedWith,Liên quan
is metabolized by,PK_Metabolism,Chuyển hóa
is metabolized in,PK_Metabolism,Chuyển hóa
is metabolized into,PK_Metabolism,Chuyển hóa
is metabolized to,PK_Metabolism,Chuyển hóa
is metabolized to form,PK_Metabolism,Chuyển hóa
is moderately soluble in,Etiology_AssociatedWith,Liên quan
is monitored by measuring,Etiology_AssociatedWith,Liên quan
is monitored for,Etiology_AssociatedWith,Liên quan
is monitored in cases of,Epidemiology_PrevalenceIncidence,Tần suất mắc
is monitored through,Etiology_AssociatedWith,Liên quan
is more active than,Etiology_AssociatedWith,Liên quan
is more common among,Etiology_AssociatedWith,Liên quan
is more common among patients with,Etiology_AssociatedWith,Liên quan
is more common in,Epidemiology_Demographics,Hay gặp ở nhóm
is more common than,Etiology_AssociatedWith,Liên quan
is more commonly observed in,Etiology_AssociatedWith,Liên quan
is more effective than,Etiology_AssociatedWith,Liên quan
is more frequent in,Epidemiology_Demographics,Hay gặp ở nhóm
is more frequently found in,Anatomy_LocatedIn,Nằm ở
is more likely to develop in,Etiology_AssociatedWith,Liên quan
is more potent than,Etiology_AssociatedWith,Liên quan
is more prevalent among,Etiology_AssociatedWith,Liên quan
is more prevalent in,Etiology_AssociatedWith,Liên quan
is more pronounced during,Etiology_AssociatedWith,Liên quan
is more selective than,Etiology_AssociatedWith,Liên quan
is more severe than,Etiology_AssociatedWith,Liên quan
is more specific than,Etiology_AssociatedWith,Liên quan
is more stable than,Etiology_AssociatedWith,Liên quan
is most common in,Etiology_AssociatedWith,Liên quan
is most commonly linked to,Etiology_AssociatedWith,Liên quan
is most commonly seen in,Etiology_AssociatedWith,Liên quan
is most prevalent in,Etiology_AssociatedWith,Liên quan
is mutated in,Genetics_Mutation,Đột biến
is named due to,Etiology_CausedBy,Do nguyên nhân
is necessary between,Anatomy_SpatialRelation,Vị trí tương đối
is necessary due to,Etiology_CausedBy,Do nguyên nhân
is necessary for,Etiology_AssociatedWith,Liên quan
is necessary for the formation of,Etiology_AssociatedWith,Liên quan
is necessary for the synthesis of,Etiology_AssociatedWith,Liên quan
is necessary to,Etiology_AssociatedWith,Liên quan
is necessary to detect,Etiology_AssociatedWith,Liên quan
is necessary to ensure,Etiology_AssociatedWith,Liên quan
is necessary to prevent,Prevention_Prophylaxis,Phòng ngừa
is necessary to understand,Etiology_AssociatedWith,Liên quan
is needed for,Etiology_AssociatedWith,Liên quan
is needed to,Etiology_AssociatedWith,Liên quan
is needed to complete,Etiology_AssociatedWith,Liên quan
is needed to determine,Etiology_AssociatedWith,Liên quan
is needed to elucidate,Etiology_AssociatedWith,Liên quan
is needed to understand,Etiology_AssociatedWith,Liên quan
